threads,time,data_size
1,0.061068,1MB
1,0.044840,1MB
1,0.044391,1MB
2,0.022578,1MB
2,0.024494,1MB
2,0.045451,1MB
4,0.015660,1MB
4,0.013228,1MB
4,0.013594,1MB
8,0.009468,1MB
8,0.009782,1MB
8,0.009522,1MB
10,0.008420,1MB
10,0.008688,1MB
10,0.008839,1MB
1,0.219018,5MB
1,0.258488,5MB
1,0.289445,5MB
2,0.114677,5MB
2,0.114006,5MB
2,0.113513,5MB
4,0.082378,5MB
4,0.086912,5MB
4,0.068684,5MB
8,0.044385,5MB
8,0.046858,5MB
8,0.046082,5MB
10,0.038800,5MB
10,0.039643,5MB
10,0.041867,5MB
1,0.882901,20MB
1,1.048182,20MB
1,0.900149,20MB
2,0.451599,20MB
2,0.470470,20MB
2,0.474637,20MB
4,0.277456,20MB
4,0.264648,20MB
4,0.279236,20MB
8,0.165911,20MB
8,0.193687,20MB
8,0.197999,20MB
10,0.155318,20MB
10,0.190585,20MB
10,0.203045,20MB
